date,start_time,game_url,team1,spread1,odds_spread1,total1,odds_total1,moneyline1,team2,spread2,odds_spread2,total2,odds_total2,moneyline2
SUN NOV 30TH,11:00AM,https://sportsbook.draftkings.com/event/jax-jaguars-%40-ten-titans/32225590?category=odds&subcategory=popular,JAX Jaguars,-1.5,−108,45.5,−110,−122,TEN Titans,+1.5,−112,45.5,−110,+102
SUN NOV 30TH,11:00AM,https://sportsbook.draftkings.com/event/la-rams-%40-car-panthers/32225515?category=odds&subcategory=popular,LA Rams,-3.5,−110,45.5,−110,−175,CAR Panthers,+3.5,−110,45.5,−110,+145
SUN NOV 30TH,11:00AM,https://sportsbook.draftkings.com/event/sf-49ers-%40-cle-browns/32299373?category=odds&subcategory=popular,SF 49ers,-6,−110,42.5,−110,−250,CLE Browns,+6,−110,42.5,−110,+205
SUN NOV 30TH,2:05PM,https://sportsbook.draftkings.com/event/min-vikings-%40-sea-seahawks/32225632?category=odds&subcategory=popular,MIN Vikings,+1.5,−115,43.5,−110,+100,SEA Seahawks,-1.5,−105,43.5,−110,−120
SUN NOV 30TH,2:25PM,https://sportsbook.draftkings.com/event/lv-raiders-%40-la-chargers/32225712?category=odds&subcategory=popular,LV Raiders,+6.5,−110,44.5,−108,+215,LA Chargers,-6.5,−110,44.5,−112,−265
SUN NOV 30TH,2:25PM,https://sportsbook.draftkings.com/event/buf-bills-%40-pit-steelers/32225647?category=odds&subcategory=popular,BUF Bills,-4.5,−115,46.5,−110,−205,PIT Steelers,+4.5,−105,46.5,−110,+170
SUN NOV 30TH,6:20PM,https://sportsbook.draftkings.com/event/den-broncos-%40-was-commanders/32225558?category=odds&subcategory=popular,DEN Broncos,+2.5,−110,46.5,−110,+110,WAS Commanders,-2.5,−110,46.5,−110,−130
MON DEC 1ST,6:15PM,https://sportsbook.draftkings.com/event/phi-eagles-%40-gb-packers/32225592?category=odds&subcategory=popular,NY Giants,+3,−105,42.5,−110,+130,NE Patriots,-3,−115,42.5,−110,−155
THU DEC 4TH,6:15PM,https://sportsbook.draftkings.com/event/ny-jets-%40-ne-patriots/32225744?category=odds&subcategory=popular,DAL Cowboys,+6,−105,48.5,−110,+210,DET Lions,-6,−115,48.5,−110,−258
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/was-commanders-%40-mia-dolphins/32225787?category=odds&subcategory=popular,SEA Seahawks,+1.5,−108,45.5,−108,+100,ATL Falcons,-1.5,−112,45.5,−112,−120
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/gb-packers-%40-ny-giants/32225710?category=odds&subcategory=popular,WAS Commanders,-1.5,−105,47.5,−110,−120,MIN Vikings,+1.5,−115,47.5,−110,+100
