Season,Week,Player,Position,Team,Opponent,Pass_Comp,Pass_Att,Pass_Yards,Pass_TD,Pass_Int,Rush_Att,Rush_Yards,Rush_TD,Rec_Targets,Rec_Recep,Rec_Yards,Rec_TD,Snapcount
2024,1,Cole Kmet,TE,CHI,VS TEN,0,0,0,0,0,0,0,0,0,1,4,0,0
2024,1,Collin Johnson,WR,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,D'Andre Swift,RB,CHI,VS TEN,0,0,0,0,0,10,30,0,0,0,0,0,0
2024,1,DJ Moore,WR,CHI,VS TEN,0,0,0,0,0,1,14,0,0,5,36,0,0
2024,1,Darrynton Evans,RB,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,DeAndre Carter,WR,CHI,VS TEN,0,0,0,0,0,0,0,0,0,1,6,0,0
2024,1,Gerald Everett,TE,CHI,VS TEN,0,0,0,0,0,0,0,0,0,1,1,0,0
2024,1,Keenan Allen,WR,CHI,VS TEN,0,0,0,0,0,0,0,0,0,4,29,0,0
2024,1,Khalil Herbert,RB,CHI,VS TEN,0,0,0,0,0,2,4,0,0,0,0,0,0
2024,1,Khari Blasingame,RB,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Marcedes Lewis,TE,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Rome Odunze,WR,CHI,VS TEN,0,0,0,0,0,0,0,0,0,1,11,0,0
2024,1,Roschon Johnson,RB,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Travis Homer,RB,CHI,VS TEN,0,0,0,0,0,2,10,0,0,0,0,0,0
2024,1,Tyler Scott,WR,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tyson Bagent,QB,CHI,VS TEN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Velus Jones Jr,WR,CHI,VS TEN,0,0,0,0,0,2,11,0,0,1,8,0,0
2024,1,Andrei Iosivas,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,3,26,0,0
2024,1,Cam Grandy,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Charlie Jones,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,1,5,0,0
2024,1,Chase Brown,RB,CIN,VS NE,0,0,0,0,0,3,11,0,0,3,12,0,0
2024,1,Drew Sample,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Erick All Jr,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Isaiah Williams,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Ja'Marr Chase,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,6,62,0,0
2024,1,Jake Browning,QB,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jermaine Burton,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Joe Burrow,QB,CIN,VS NE,0,0,164,0,0,4,15,0,0,0,0,0,0
2024,1,Kendall Milton,RB,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Kendric Pryor,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Khalil Herbert,RB,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Mike Gesicki,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,3,18,0,0
2024,1,Tanner Hudson,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,2,18,0,0
2024,1,Tanner McLachlan,TE,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tee Higgins,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Trayveon Williams,RB,CIN,VS NE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Trenton Irwin,WR,CIN,VS NE,0,0,0,0,0,0,0,0,0,1,6,0,0
2024,1,Zack Moss,RB,CIN,VS NE,0,0,0,0,0,9,44,1,0,2,17,0,0
2024,1,Amari Cooper,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,2,16,0,0
2024,1,Bailey Zappe,QB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Blake Whiteheart,TE,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Brenden Bates,TE,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Cedric Tillman,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,D'Onta Foreman,RB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,David Bell,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,David Njoku,TE,CLE,VS DAL,0,0,0,0,0,0,0,0,0,4,44,0,0
2024,1,Deshaun Watson,QB,CLE,VS DAL,0,0,169,1,2,5,39,0,0,0,0,0,0
2024,1,Dorian Thompson-Robinson,QB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Elijah Moore,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,3,9,0,0
2024,1,Gary Brightwell,RB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Geoff Swaim,TE,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jacob Kibodi,RB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jaelon Darden,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jamari Thrash,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
